environment,genotype,observed
BRK_00,PI182561,66.0
BRK_00,PI382161,92.5
BRK_00,PI382167,72.0
BRK_00,PI81791,70.5
BRK_00,MN97039,65.5
BRK_00,MN97561,62.5
BRK_00,MN98037,63.5
BRK_00,MN98092,61.0
BRK_00,MN98208,80.0
BRK_00,MN98389,74.0
BRK_00,2375,71.0
BRK_00,ND2710,92.5
BRK_00,BACUP,66.5
BRK_00,WHEATON,65.0
BRK_01,PI104131,33.900000000000006
BRK_01,PI185380,30.5
BRK_01,PI349478,59.3
BRK_01,PI382140,48.4
BRK_01,MN99109,39.4
BRK_01,MN99112,38.2
BRK_01,MN99126,44.8
BRK_01,MN99192,40.5
BRK_01,MN99322,41.0
BRK_01,2375,36.0
BRK_01,ND2710,48.4
BRK_01,BACUP,45.6
BRK_01,WHEATON,22.299999999999997
BRK_02,PI163429,37.5
BRK_02,PI168727,45.6
BRK_02,PI345731,46.5
BRK_02,PI185843,57.5
BRK_02,PI264940,60.3
BRK_02,SD3533,46.3
BRK_02,MN00021,66.0
BRK_02,MN00173,43.2
BRK_02,MN00274,58.5
BRK_02,MN99225,64.2
BRK_02,MN99408,66.5
BRK_02,2375,48.2
BRK_02,ND2710,82.0
BRK_02,BACUP,59.2
BRK_02,WHEATON,39.5
BRK_03,BUCKAUSTRAL,61.8
BRK_03,KLEINCONDOR,65.2
BRK_03,ARTEMOWSKA,73.2
BRK_03,ALBIDUM43,39.5
BRK_03,SD3746,47.0
BRK_03,STEPNJACHKA,73.2
BRK_03,MN01116,58.0
BRK_03,MN01180,82.4
BRK_03,MN01281,81.7
BRK_03,MN99433-1,52.0
BRK_03,ND03_1-15,55.8
BRK_03,ND03_1-9,78.1
BRK_03,2375,61.8
BRK_03,ND2710,96.9
BRK_03,BACUP,85.4
BRK_03,WHEATON,21.200000000000003
BRK_04,MN00187-3,72.1233
BRK_04,MN01164,73.36670000000001
BRK_04,MN01NIL84-5-5-15,65.83330000000001
BRK_04,MN99220-4,57.89
BRK_04,MN99341-2-5,62.5
BRK_04,ND03_1-15,45.3333
BRK_04,ND03_1-9,56.7333
BRK_04,NDSW0345,47.8167
BRK_04,RUGBY,46.1333
BRK_04,2375,56.6667
BRK_04,ND2710,76.9833
BRK_04,BACUP,64.3133
BRK_04,WHEATON,41.9667
BRK_05,NDSW0350,58.3333
BRK_05,MN01057-3-1,78.91669999999999
BRK_05,MN01380-2-1,72.28999999999999
BRK_05,MN02051-1,69.94
BRK_05,MN02219-1,68.0067
BRK_05,MN02306-2,75.5567
BRK_05,NDSW0345,51.0
BRK_05,RUGBY,44.3333
BRK_05,2375,49.95
BRK_05,ND2710,75.3567
BRK_05,BACUP,67.38
BRK_05,WHEATON,50.65
BRK_06,WASKADA,79.925
BRK_06,CROMWELL,60.1667
BRK_06,MN02268-A-4,78.9417
BRK_06,TOM,80.825
BRK_06,NDSW0430,84.4167
BRK_06,MN00209-3-1,92.6833
BRK_06,MN02222-1,86.4667
BRK_06,RUGBY,40.3333
BRK_06,2375,79.9083
BRK_06,ND2710,87.8333
BRK_06,BACUP,78.425
BRK_06,WHEATON,44.6667
BRK_07,ES101,67.3666667
BRK_07,MN03013-3-2,62.0333333
BRK_07,MN03191-2-1,55.8333333
BRK_07,NDSW0430,70.66666670000001
BRK_07,MN00209-3-1,60.2666667
BRK_07,MN02222-1,68.16666670000001
BRK_07,RUGBY,61.6666667
BRK_07,BRICK,63.3333333
BRK_07,2375,57.9583333
BRK_07,ND2710,68.0
BRK_07,BACUP,62.725
BRK_07,WHEATON,27.166666699999993
BRK_09,FOREFRONT,57.1666667
BRK_09,SD4011,69.66666670000001
BRK_09,SD4027,64.83333329999999
BRK_09,SELECT,69.16666670000001
BRK_09,MN05152-1-1,65.33333329999999
BRK_09,MN06049-1-3,71.66666670000001
BRK_09,MN06202-3-1,60.0
BRK_09,MN06213-6-2-4,66.16666670000001
BRK_09,MN06219-2-2,53.1666667
BRK_09,2375,52.6666667
BRK_09,ND2710,71.5
BRK_09,BACUP,68.33333329999999
BRK_09,WHEATON,49.3333333
BRK_10,MT09SCAB16,60.45
BRK_10,MT09SCAB3,55.4166667
BRK_10,MT09SCAB5,54.7916667
BRK_10,MT09SCAB9,43.5
BRK_10,FN09-17017,85.2583333
BRK_10,FN09-17210,85.8
BRK_10,FN09-17213,91.25833333
BRK_10,FN09-17270,91.35833333
BRK_10,FN09-17275,92.10833333
BRK_10,MN06216-6-2-4,53.6666667
BRK_10,MN07049-7-3,86.925
BRK_10,MN07183-3,64.16666670000001
BRK_10,BW928,70.225
BRK_10,BRICK,89.22083334999999
BRK_10,2375,60.15
BRK_10,ND2710,73.5916667
BRK_10,BACUP,76.2333333
BRK_10,WHEATON,52.5
BRK_11,10EXP13-16,47.6666667
BRK_11,10EXP13-24,50.6666667
BRK_11,10EXP13-44,66.7666667
BRK_11,10EXP13-87,42.3333333
BRK_11,10EXPSW13-19,43.8333333
BRK_11,10EXPSW13-28,70.7166667
BRK_11,10EXPSW13-9,45.1666667
BRK_11,SD4313,73.2
BRK_11,SD4331,62.8416667
BRK_11,SD4337,47.5
BRK_11,SD4338,46.5
BRK_11,SD4343,60.8333333
BRK_11,MN07057-6-4,54.7833333
BRK_11,MN07167W-2-1,49.5
BRK_11,MN09023,49.95
BRK_11,MN09092,51.0
BRK_11,X00009-16,57.0
BRK_11,BW928,51.6666667
BRK_11,BRICK,75.2333333
BRK_11,2375,46.3333333
BRK_11,ND2710,60.5
BRK_11,BACUP,62.05
BRK_11,WHEATON,38.1666667
BRK_12,11EXP13-105,89.69166666699999
BRK_12,11EXP13-107,80.466666667
BRK_12,11EXP13-43,94.325
BRK_12,11EXP13-65,81.783333333
BRK_12,11EXP13-78,85.983333333
BRK_12,SD4361,85.708333333
BRK_12,SD4366,95.3166666667
BRK_12,SD4388,86.716666667
BRK_12,SD4394,83.075
BRK_12,SD4397,82.966666667
BRK_12,MN08166,85.033333333
BRK_12,MN08173,93.5666666667
BRK_12,MN09027,92.1666666667
BRK_12,MN09071,82.55
BRK_12,MN09121,93.1666666667
BRK_12,BW928,89.083333333
BRK_12,BRICK,88.9805555555667
BRK_12,2375,96.1916666667
BRK_12,ND2710,91.25
BRK_12,BACUP,85.35
BRK_12,WHEATON,94.3666666667
BRK_13,SD4487,81.104166667
BRK_13,SD4518,80.85
BRK_13,SD4536,81.3125
BRK_13,SD4541,84.966666667
BRK_13,SD4544,83.4125
BRK_13,MN09157,83.695833333
BRK_13,MN10055,83.470833333
BRK_13,MN10285,85.31666666699999
BRK_13,MN10362,85.858333333
BRK_13,MN10368,85.920833333
BRK_13,12-14-147,86.470833333
BRK_13,12-14-158,81.095833333
BRK_13,12-14-172,88.1125
BRK_13,12-14-97,79.233333333
BRK_13,BRICK,91.225
BRK_13,2375,84.091666667
BRK_13,ND2710,90.6791666667
BRK_13,BACUP,84.0375
BRK_13,WHEATON,68.80833333300001
BRK_14,SD4504,82.19166666699999
BRK_14,SD4508,77.5
BRK_14,SD4510,76.166666667
BRK_14,SD4514,78.125
BRK_14,SD4546,84.85
BRK_14,MN10021,79.55
BRK_14,MN10388,73.5
BRK_14,MN11074,80.3
BRK_14,MN11397-1,66.716666667
BRK_14,MN11405,84.25
BRK_14,12-14-147,70.43333333300001
BRK_14,12-14-158,69.833333333
BRK_14,12-14-172,73.366666667
BRK_14,12-14-97,74.93333333300001
BRK_14,2375,70.166666667
BRK_14,ND2710,87.833333333
BRK_14,BACUP,69.5
BRK_14,WHEATON,78.7
BRK_15,BW483,53.0
BRK_15,BW485,52.833333333
BRK_15,BW499,67.133333333
BRK_15,BW961,57.333333333
BRK_15,MT1219,49.666666667
BRK_15,MT1337,53.0
BRK_15,MT1338,55.158333333
BRK_15,14-13-106,59.666666667
BRK_15,14-13-135,63.333333333
BRK_15,14-13-14,66.866666667
